StartDate,EndDate,Attn1,Attn2,Efficacy1,Efficacy2,Efficacy3,Efficacy4,Efficacy5,Efficacy6,CAB1,CAB2,CAB3,CAB4,CAB5,CAB6,CAB7,CAB8,Ecoanx1,Ecoanx2,Ecoanx3,Ecoanx4,Ecoang1,Ecoang2,Ecoang3,Ecoang4,Ecodep1,Ecodep2,Ecodep3,Ecodep4,Ecohope1,Ecohope2,Ecohope3,Ecohope4,Affective1,Affective2,Affective3,Affective4,Ruminat1,Ruminat2,Ruminat3,Behav1,Behav2,Behav3,Persim1,Persim2,Persim3,Injustice2,Injustice3,Injustice4,Worry1,Worry2,Worry3,Worry4,Worry5,Age,GenderNum,GenderText,FinStress1,FinStress2,FinStress3,FinStress4,FinStress5,FinStress6,FinStress7,FAILED_ATTN1,FAILED_ATTN2,FAILED_ATTN,FINSTRESS_TOTAL,FINSTRESS_BINARY,GENDER_BINARY,EFFICACY_MEAN,CAB_MEAN,ECOANX_MEAN,ECOANG_MEAN,ECODEP_MEAN,ECOHOPE_MEAN,WORRY_MEAN,Mean_GenInJust,AFFECTIVE_MEAN,RUMINAT_MEAN,BEHAV_MEAN,PERSIM_MEAN
13885501670,13885502864,Strongly disagree,Nearly every day,Agree,Strongly agree,Agree,Agree,Agree,Agree,1,0,25,95,65,65,5,30,95,95,85,85,40,45,30,45,25,25,25,10,35,10,75,74,Several of the days,Not at all,Not at all,Several of the days,Over half the days,Over half the days,Over half the days,Not at all,Over half the days,Several of the days,Over half the days,Nearly every day,Over half the days,Somewhat agree,Somewhat agree,Agree,2,4,4,Not at all typical of me,3,57,Woman,-99,Yes,Yes,No,Yes,No,Yes,Yes,Pass,Pass,0,5,Some financial stress,Woman,6.166666666666667,35.75,90,40,21.25,48.5,2.8,5.333333333333333,0.5,Over half the days,Several of the days,2.3333333333333335
13885416088,13885416716,Strongly disagree,Nearly every day,Agree,Agree,Disagree,Agree,Slightly agree,Slightly agree,0,0,49,100,19,0,32,48,29,59,16,46,92,72,79,65,16,27,45,50,0,0,47,49,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,Several of the days,Agree,Strongly agree,Strongly agree,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,22,Man,-99,No,Yes,No,Yes,No,No,No,Pass,Pass,0,2,Some financial stress,Man,Slightly agree,31,37.5,77,34.5,24,5,6.666666666666667,Not at all,Not at all,Not at all,2.3333333333333335
13885504335,13885504822,Strongly disagree,Nearly every day,Slightly disagree,Strongly disagree,Slightly disagree,Slightly agree,Strongly disagree,Strongly disagree,0,0,0,71,71,50,0,52,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,Several of the days,Several of the days,Several of the days,Not at all,Not at all,Not at all,Not at all,Over half the days,Over half the days,Several of the days,Not at all,Not at all,Not at all,Strongly agree,Strongly agree,Strongly agree,Not at all typical of me,Not at all typical of me,Not at all typical of me,Not at all typical of me,3,29,Man,-99,Yes,Yes,No,Yes,Yes,Yes,Yes,Pass,Pass,0,6,Some financial stress,Man,2.3333333333333335,30.5,0,100,25,0,1.4,7,0.75,Not at all,1.6666666666666667,Not at all
13885501369,13885502215,Strongly disagree,Nearly every day,Agree,Slightly agree,Agree,Agree,Slightly agree,Neither agree nor disagree,0,0,0,100,0,0,50,0,100,100,100,100,100,100,100,100,100,80,100,100,0,0,0,90,Over half the days,Several of the days,Several of the days,Several of the days,Not at all,Not at all,Several of the days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Strongly agree,Strongly agree,Strongly agree,4,3,4,2,4,82,Woman,-99,No,No,No,No,No,No,No,Pass,Pass,0,0,No financial stress,Woman,5.333333333333333,18.75,100,100,95,22.5,3.4,7,1.25,0.3333333333333333,Not at all,Not at all
13885507837,13885508265,Strongly disagree,Nearly every day,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,0,0,0,10,0,0,5,0,10,20,10,20,30,5,30,5,5,0,5,5,0,0,0,0,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,Several of the days,Not at all,Not at all,Not at all,Agree,Agree,Strongly agree,Not at all typical of me,2,3,2,2,58,Man,-99,No,No,No,No,No,No,No,Pass,Pass,0,0,No financial stress,Man,Slightly disagree,1.875,15,17.5,3.75,0,2,6.333333333333333,Not at all,Not at all,2.3333333333333335,Not at all
13885416281,13885419167,Strongly disagree,Nearly every day,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,0,0,100,90,50,0,7,30,51,51,51,0,50,50,50,0,0,0,90,50,30,100,51,51,Nearly every day,Over half the days,Over half the days,Over half the days,Over half the days,Over half the days,Over half the days,Over half the days,Not at all,Not at all,Over half the days,Several of the days,Over half the days,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,4,Very typical of me,4,4,4,43,I prefer to self-describe:,-99,Yes,Yes,No,No,No,Yes,Yes,Pass,Pass,0,4,Some financial stress,199,6.666666666666667,34.625,38.25,37.5,35,58,4.2,5,2.25,Over half the days,0.6666666666666666,1.6666666666666667
13885505378,13885505949,Strongly disagree,Nearly every day,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,20,0,0,68,50,68,32,60,65,83,58,47,8,0,5,7,0,0,56,74,15,15,15,15,Over half the days,Several of the days,Several of the days,Over half the days,Not at all,Not at all,Several of the days,Not at all,Not at all,Not at all,Several of the days,Over half the days,Several of the days,Neither agree nor disagree,Agree,Agree,2,Not at all typical of me,3,Not at all typical of me,Not at all typical of me,28,Man,-99,No,No,No,No,No,No,No,Pass,Pass,0,0,No financial stress,Man,6.833333333333333,37.25,63.25,5,32.5,15,1.6,5.333333333333333,1.5,0.3333333333333333,Not at all,1.3333333333333333
13885504534,13885505195,Strongly disagree,Nearly every day,Agree,Agree,Agree,Agree,Agree,Agree,100,0,0,100,100,50,100,100,60,59,61,48,13,24,12,14,13,9,50,32,17,24,25,58,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several of the days,Several of the days,Several of the days,Over half the days,Over half the days,Not at all,Somewhat disagree,Somewhat agree,Agree,Very typical of me,Very typical of me,Very typical of me,Very typical of me,Very typical of me,28,Woman,-99,No,No,No,No,No,Yes,No,Pass,Pass,0,1,Some financial stress,Woman,Agree,68.75,57,15.75,26,31,5,4.666666666666667,Not at all,Not at all,Several of the days,1.3333333333333333
13885501245,13885503879,Strongly disagree,Nearly every day,Agree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,0,100,83,100,100,100,100,65,28,100,54,60,90,80,100,67,8,6,23,57,3,0,0,11,Not at all,Not at all,Not at all,Not at all,Several of the days,Several of the days,Several of the days,Several of the days,Not at all,Not at all,Not at all,Not at all,Not at all,Strongly agree,Strongly agree,Strongly agree,3,3,3,4,3,43,Woman,-99,Yes,No,Yes,Yes,Yes,Yes,Yes,Pass,Pass,0,6,Some financial stress,Woman,5.333333333333333,81,60.5,84.25,23.5,3.5,3.2,7,Not at all,Several of the days,0.3333333333333333,Not at all
13885504735,13885505095,Strongly disagree,Nearly every day,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,0,0,0,20,0,20,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,53,0,0,Over half the days,Over half the days,Over half the days,Several of the days,Not at all,Not at all,Not at all,Over half the days,Over half the days,Over half the days,Not at all,Not at all,Not at all,Somewhat disagree,Somewhat agree,Neither agree nor disagree,4,4,4,4,4,45,Man,-99,Yes,Yes,Yes,Yes,No,Yes,Yes,Pass,Pass,0,6,Some financial stress,Man,Neither agree nor disagree,5,0,50,0,13.25,4,4,1.75,Not at all,Over half the days,Not at all
